normalized_PV_Wirkleistung,normalized_Last_Rechenwert,normalized_Niederschlag,normalized_Temperatur,normalized_rel_Feuchte,normalized_Windgeschwindigkeit,normalized_Windrichtung,normalized_Luftdruck,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Feiertag,normalized_Netz_Wirkleistung
0.0009525946043769701,0.29125316854733485,0.0,0.2304730073522597,0.9773787952279587,0.04679426136363636,0.3496111111111111,0.8736631969200055,0,0,0,0,0,0,1,1,0.5554564800682775
0.0009536293660571408,0.2921973972514814,0.0,0.2309275347515799,0.9776489629329909,0.049907102272727266,0.5029638888888889,0.8626978468558388,0,0,0,0,0,0,1,1,0.5566292148581222
0.0009447510950554382,0.29301290525348844,0.0,0.2295282032076054,0.9767743735250729,0.040071363636363634,0.4992138888888889,0.8522173107086835,0,0,0,0,0,0,1,1,0.5576447800665998
0.0009573473518592004,0.28918072058942335,0.0,0.2276754791641841,0.9735172819369642,0.04177051136363636,0.36812222222222224,0.844602880365036,0,0,0,0,0,0,1,1,0.5528864150092799
0.0009593532582924467,0.2879477711355477,0.0,0.2156181137585803,0.9694082196325217,0.05294090909090909,0.39560833333333323,0.8347212319977184,0,0,0,0,0,0,1,1,0.5513484579724158
0.0009605046246958952,0.29088387643135405,0.0,0.21010174377365562,0.9661247395708982,0.04327579545454545,0.39642499999999997,0.8254812491087975,0,0,0,0,0,0,1,1,0.5549726868650239
0.000961017032997014,0.28777759950138415,0.0,0.20855090309657434,0.9641493738392214,0.03869846590909091,0.38199444444444447,0.8187794096677606,0,0,0,0,0,0,1,1,0.5511323748213497
0.0009604023324657272,0.2897735393477382,0.0,0.2055212878843764,0.9649623901422715,0.040609147727272726,0.5663250000000001,0.8144303436475117,0,0,0,0,0,0,1,1,0.5536095291101202
0.0009593636769455192,0.28708620510552585,0.0,0.2083564569182551,0.9649447978265951,0.03804920454545454,0.44632777777777777,0.8076429488093539,0,0,0,0,0,0,1,1,0.5721346678904596
0.005701514652328445,0.2854891960073818,0.0,0.21384161715665972,0.9684670307438282,0.037750909090909085,0.47668055555555555,0.8045344360473411,0,0,0,0,0,0,1,1,0.6106455034525573
0.03042252474832526,0.28383995451982513,0.0,0.2181810959728078,0.9688402391549658,0.038041988636363634,0.4519472222222222,0.80095536860117,0,0,0,0,0,0,1,1,0.5578452184196866
0.06122865030600935,0.2836042920464254,0.0,0.22404020571951708,0.9692335530697334,0.04330874999999999,0.31251388888888887,0.7954513047198056,0,0,0,0,0,0,1,1,0.5217578622678867
0.09449407992586913,0.28560143454225323,0.0,0.22710708347756023,0.9693994234746834,0.043012272727272725,0.3634611111111111,0.7836446599172964,0,0,0,0,0,0,1,1,0.5111606698081493
0.11231050340090669,0.2855410001739855,0.0,0.23752867986555223,0.9729543278353159,0.036221874999999994,0.5564444444444444,0.7714244973620423,0,0,0,0,0,0,1,1,0.5040278490072961
0.08867098516984549,0.28660230459312647,0.0,0.24168335915230546,0.9741292432037114,0.04322267045454545,0.6125666666666667,0.7615571082275776,0,0,0,0,0,0,1,1,0.5147088257088992
0.06286867721686197,0.28583050211706823,0.0,0.24772632267851505,0.9789822091424751,0.04096619318181818,0.49286111111111114,0.7532724939398261,0,0,0,0,0,0,1,1,0.5242692458755418
0.02030455058308031,0.2855345830805952,0.0,0.2466165797522514,0.9782885692672297,0.04194238636363636,0.3809527777777778,0.7498645372878935,0,0,0,0,0,0,1,1,0.5406702723798573
0.0009635046179667607,0.2883981025050822,0.0,0.23487604056132153,0.9742662119471929,0.04037073863636363,0.3849333333333333,0.7461143590474839,0,0,0,0,0,0,1,1,0.5518664624732006
0.0009318913199961818,0.2890087678457744,0.0,0.23137355040184915,0.9752425854672393,0.03688227272727272,0.4732972222222222,0.7438614002566667,0,0,0,0,0,0,1,1,0.5526374235792914
0.0009394970419781413,0.28845822116136405,0.0,0.22965890584303203,0.9736831523419142,0.037749431818181814,0.4851500000000001,0.7433765863396555,0,0,0,0,0,0,1,1,0.5519490408622812
0.0009428777370418385,0.2895733954418107,0.0,0.22460330520673147,0.971462750784743,0.030344374999999996,0.5936638888888889,0.7416797376301157,0,0,0,0,0,0,1,1,0.5533518471314988
0.0009449337898204296,0.2901283179852368,0.0,0.22424259619695053,0.9717153261740986,0.03895897727272727,0.3302027777777778,0.7412377014116633,0,0,0,0,0,0,1,1,0.5540411378921969
0.0009460733694648463,0.2892892770931601,0.0,0.22687537475339573,0.9744961686449645,0.04006460227272727,0.7296916666666667,0.742635106231285,0,0,0,0,0,0,1,1,0.5529829302163235
0.0009492958378124352,0.28947709352870765,0.0,0.22670986852184968,0.9733514115320142,0.033426363636363636,0.5404027777777778,0.7401397404819614,0,0,0,0,0,0,1,1,0.553231238869544
0.000951930704650618,0.29338026939777206,0.0,0.2250657769051659,0.9706949718648609,0.03824698863636364,0.6562250000000001,0.7398973335234567,1,0,0,0,0,0,0,0,0.5580807675600781
0.0009548929697686903,0.29021237484790213,0.0,0.2161142541532607,0.9677922397782363,0.04326920454545454,0.6424527777777778,0.7382290032796243,1,0,0,0,0,0,0,0,0.5541597058379517
0.0009568593589875043,0.28927827895135433,0.0,0.2154660371755369,0.9689382534851634,0.03954136363636363,0.7149166666666666,0.7370882646513619,1,0,0,0,0,0,0,0,0.552987452226553
0.0009585002442269877,0.28691114788852845,0.0,0.21797662484560634,0.9688967858839259,0.03862943181818181,0.49320833333333336,0.7371738200484811,1,0,0,0,0,0,0,0,0.5500512963867971
